Date,File,Description,Amount
2023-09-21,personal_savings_multi_page.pdf,Online Banking payment - 6989 CRA-REV TX OWI,-20000.0
2023-09-21,personal_savings_multi_page.pdf,Fee Electronic transaction 1 @ $5.00,-5.0
2023-10-03,personal_savings_multi_page.pdf,Deposit interest,25.41
2023-10-11,personal_savings_multi_page.pdf,Online Banking transfer - 9470,1000.0
2023-10-12,personal_savings_multi_page.pdf,Online Transfer to Deposit Account-1823,-6000.0
