Date,File,Description,Amount
2024-05-27,personal_savings_multi_line.pdf,Online Banking payment - 6271 OTTAWA-TAX,-2993.11
2024-05-27,personal_savings_multi_line.pdf,Fee Electronic transaction 1  @ $5.00,-5.0
2024-06-03,personal_savings_multi_line.pdf,Online Banking transfer - 0141,-3905.88
2024-06-03,personal_savings_multi_line.pdf,Deposit interest,15.09
